imo,position_dt_tm,latitude,longitude
9632179,2019-01-15 03:50:27+00,50.57771683,1.128900051
9632179,2019-01-15 03:41:38+00,50.5475502,1.085999966
9632179,2019-01-15 03:35:09+00,50.5292511,1.047733307
9632179,2019-01-15 03:25:45+00,50.5025177,0.993149996
9632179,2019-01-15 03:17:00+00,50.48656845,0.935116649
9595321,2019-01-15 03:15:52+00,18.09523392,-64.01748657
9632179,2019-01-15 03:10:00+00,50.47850037,0.884050012
9632179,2019-01-15 03:03:13+00,50.47163391,0.834299982
9632179,2019-01-15 02:54:39+00,50.46216583,0.771483362
9632179,2019-01-15 02:47:45+00,50.45425034,0.721066654
9632179,2019-01-15 02:38:39+00,50.44329834,0.654316664
9632179,2019-01-15 02:32:40+00,50.43516541,0.610666692
9632179,2019-01-15 02:23:16+00,50.42286682,0.542033315
9632179,2019-01-15 02:15:51+00,50.41355133,0.488499999
9632179,2019-01-15 02:07:59+00,50.40353394,0.429749995
9632179,2019-01-15 01:59:52+00,50.39393234,0.369816661
9595321,2019-01-15 01:56:22+00,18.18470001,-64.19863129
9632179,2019-01-15 01:52:46+00,50.38550186,0.317083329
9632179,2019-01-15 01:39:56+00,50.37139893,0.222466663
9595321,2019-01-15 01:33:43+00,18.20883369,-64.25045013
9632179,2019-01-15 01:33:34+00,50.3639183,0.174133331
9595321,2019-01-15 01:25:20+00,18.21764946,-64.26931763
9632179,2019-01-15 01:20:44+00,50.34931564,0.079966664
9632179,2019-01-15 00:58:09+00,50.32551575,-0.085883334
9595321,2019-01-15 00:57:02+00,18.24886703,-64.33296967
9595321,2019-01-15 00:47:11+00,18.2599659,-64.35486603
9632179,2019-01-15 00:41:31+00,50.30568314,-0.205916673
9632179,2019-01-15 00:36:13+00,50.29946518,-0.243716672
9632179,2019-01-15 00:26:21+00,50.28760147,-0.31613332
9595321,2019-01-15 00:20:31+00,18.2880497,-64.41486359
9632179,2019-01-15 00:10:20+00,50.26781845,-0.430500001
9595321,2019-01-15 00:03:53+00,18.30581665,-64.45279694
9632179,2019-01-14 23:55:43+00,50.24628448,-0.533616662
9595321,2019-01-14 23:50:02+00,18.320467,-64.4841156
9632179,2019-01-14 23:45:08+00,50.230783,-0.606933
9595321,2019-01-14 23:42:40+00,18.32831573,-64.50090027
9632179,2019-01-14 23:40:24+00,50.2240181,-0.641183317
9595321,2019-01-14 23:31:55+00,18.34001732,-64.52335358
9632179,2019-01-14 23:25:08+00,50.20470047,-0.748933315
9595321,2019-01-14 23:17:20+00,18.36840057,-64.54399872
9632179,2019-01-14 23:16:59+00,50.19464874,-0.804499984
9595321,2019-01-14 23:10:23+00,18.388834,-64.54651642
9632179,2019-01-14 23:09:43+00,50.18536758,-0.855816662
9595321,2019-01-14 23:01:58+00,18.40589905,-64.56386566
9632179,2019-01-14 22:54:31+00,50.16754913,-0.960066676
9595321,2019-01-14 22:45:59+00,18.41391754,-64.60411835
9595321,2019-01-14 22:40:32+00,18.42013359,-64.60935211
9632179,2019-01-14 22:40:01+00,50.15001678,-1.056450009
9595321,2019-01-14 22:34:42+00,18.42116737,-64.61090088
9632179,2019-01-14 22:23:38+00,50.12936783,-1.166700006
9595321,2019-01-14 22:17:32+00,18.42111588,-64.61087036
9632179,2019-01-14 22:08:00+00,50.11003494,-1.26849997
9632179,2019-01-14 22:01:56+00,50.10363388,-1.306599975
9595321,2019-01-14 21:59:32+00,18.42111588,-64.61088562
9632179,2019-01-14 21:52:14+00,50.09524918,-1.371266723
9632179,2019-01-14 21:45:32+00,50.08873367,-1.413100004
9595321,2019-01-14 21:41:32+00,18.42116737,-64.61090088
9632179,2019-01-14 21:36:46+00,50.079216,-1.469833374
9595321,2019-01-14 21:23:32+00,18.42116737,-64.61090088
9632179,2019-01-14 21:21:57+00,50.06364822,-1.562966704
9632179,2019-01-14 21:11:39+00,50.05306625,-1.626850009
9632179,2019-01-14 21:06:14+00,50.04753494,-1.659783363
9595321,2019-01-14 21:05:33+00,18.42116737,-64.61090088
9632179,2019-01-14 20:51:08+00,50.03193283,-1.75090003
9632179,2019-01-14 20:46:03+00,50.02595139,-1.781800032
9595321,2019-01-14 20:44:33+00,18.42110062,-64.61087036
9632179,2019-01-14 20:32:02+00,50.01218414,-1.865450025
9595321,2019-01-14 20:26:32+00,18.42116737,-64.61090088
9632179,2019-01-14 20:20:07+00,50.00108337,-1.936300039
9632179,2019-01-14 20:14:52+00,49.996418,-1.966283321
9247455,2019-01-14 20:11:30+00,17.78716087,69.50538635
9595321,2019-01-14 20:05:33+00,18.42116737,-64.61090088
9632179,2019-01-14 20:03:58+00,49.98651505,-2.030133247
9632179,2019-01-14 19:54:16+00,49.9780159,-2.087033272
9632179,2019-01-14 19:48:45+00,49.97303391,-2.119283438
9595321,2019-01-14 19:44:32+00,18.42116737,-64.61090088
9632179,2019-01-14 19:29:07+00,49.94923401,-2.2315166
9595321,2019-01-14 19:23:32+00,18.42115021,-64.61090088
9632179,2019-01-14 19:15:05+00,49.93398285,-2.312099934
9595321,2019-01-14 19:05:32+00,18.42115021,-64.61090088
9632179,2019-01-14 18:59:06+00,49.91758347,-2.406049967
